,,informatics задачи - ссылка,informatics задачи - название,e-maxx-теория ссылки,e-maxx теория - название,,фоксфорд теория - ссылка,фоксфорд теория - заголовок,фоксфорд видео - ссылка,фоксфорд видео - заголовок,,ЛКШ видео - ссылка,ЛКШ видео заголовок,,,unique id,color,habr - ссылка,habr - заголовок
80,Подсчет. Сортировка подсчетом,http://informatics.mccme.ru/py-source/source/dir/240-424,,,,,http://foxford.ru/wiki/informatika/porazryadnaya-sortirovka,Поразрядная сортировка,http://foxford.ru/wiki/informatika/porazryadnaya-sortirovka,Поразрядная сортировка,,http://sis.khashaev.ru/2008/august/b-prime/kVcmMxhr-CI/,,,,,,,
80,Подсчет. Сортировка подсчетом,,,,,,,,,,,,,,,,,,
83,Поиск в ширину,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/RL0BGVJxCKo/,Сложность волнового алгоритма,,,,,http://habrahabr.ru/post/200252/,
83,Поиск в ширину,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/sX5KYJd3GRY/,Восстановление пути,,,,,,
83,Поиск в ширину,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/cUTOEaG36Sw/,Клеточные лабиринты,,,,,,
85,Хранение графа,,,,,,http://foxford.ru/wiki/informatika/hranenie-grafa-spisok-reber,Список ребер,http://foxford.ru/wiki/informatika/hranenie-grafa-spisok-reber,Список ребер,,,,,,,,,
85,Хранение графа,,,,,,http://foxford.ru/wiki/informatika/hranenie-grafa-matritsa-smezhnosti,Матрица смежности,http://foxford.ru/wiki/informatika/hranenie-grafa-matritsa-smezhnosti,Матрица смежности,,,,,,,,,
87,Бинарный поиск в упорядоченном массиве,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/sPx1gETM7Eo/,Инварианты,,,,,,
87,Бинарный поиск в упорядоченном массиве,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/w3nbKMuZqfg/,Левый и правый бинпоиск,,,,,,
,,,,,,,,,,,,,,,,,,,
88,Быстрая сортировка,,,,,,http://foxford.ru/wiki/informatika/bystraya-sortirovka-hoara-python,Python,http://foxford.ru/wiki/informatika/bystraya-sortirovka-hoara-python,Python,,,,,,,,,
89,Сортировка слиянием,,,,,,,,,,,http://sis.khashaev.ru/2008/august/b-prime/itjUmHNrnA8/,,,,,,,
89,Сортировка слиянием,,,,,,,,,,,http://sis.khashaev.ru/2008/august/b-prime/7JoWmr6_ljM/,,,,,,,
95,Поиск в глубину,,,http://e-maxx.ru/algo/connected_components,Поиск компонент связности,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/oWc-uhuH0oo/,Реализация для связного графа,,,,,http://habrahabr.ru/post/200074/,
95,Поиск в глубину,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/xZdaTdiidkk/,Реализация для несвязного графа,,,,,,
95,Поиск в глубину,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/EJJ3eqOcHe8/,Сложность алгоритма,,,,,,
95,Поиск в глубину,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/NzFUZRNA3n8/,Поиск цикла,,,,,,
95,Поиск в глубину,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/yPnelTAnZNE/,Проверка на двудольность,,,,,,
98,Бинарный поиск по ответу,,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/b2KZPLYqbzY/,Задача о двух ксероксах,,,,,,
98,Бинарный поиск по ответу,,,,,,,,,,,http://sis.khashaev.ru/2008/august/b-prime/3pVREiuGwQ8/,Задача о распиле досок,,,,,,
98,Бинарный поиск по ответу,,,,,,,,,,,http://sis.khashaev.ru/2008/august/b-prime/YzsVQRESmeE/,Задача о фонтанах,,,,,,
101,Сканирующая прямая,,,http://e-maxx.ru/algo/intersecting_segments,Поиск пары пересекающихся отрезков,,,,,,,,,,,,,,
-,Квадродерево,,,,,,,,,,,,,,,,,,
-,Обратный элемент в кольце по модулю,,,http://e-maxx.ru/algo/reverse_element,,,,,,,,,,,,,,,
-,Код Грея,,,http://e-maxx.ru/algo/gray_code,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Cовместная сортировка массивов; сортировка записей,http://informatics.mccme.ru/py-source/source/dir/240-359,,,,,http://foxford.ru/wiki/informatika/sinhronnaya-sortirovka-massivov,,http://foxford.ru/wiki/informatika/sinhronnaya-sortirovka-massivov,,,,,,,,,,
,Рекуррентные последовательности,http://informatics.mccme.ru/py-source/source/dir/240-394,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Наименьший общий предок,http://informatics.mccme.ru/py-source/source/dir/240-16188,,,,,,,,,,,,,,,,,
,Функция Гранди,http://informatics.mccme.ru/py-source/source/dir/240-443,,http://e-maxx.ru/algo/sprague_grundy,,,,,,,,,,,,,,http://habrahabr.ru/post/124856/,
,Метод градиентного спуска,http://informatics.mccme.ru/py-source/source/dir/240-17890,,,,,,,,,,,,,,,,,
,?Обработка текста,http://informatics.mccme.ru/py-source/source/dir/240-435,,,,,,,,,,,,,,,,,
,?Дата и время,http://informatics.mccme.ru/py-source/source/dir/240-451,,,,,,,,,,,,,,,,,
,Частичные суммы,,,,,,,,,,,,,,,,,,
,Сжатые таблиы,,,,,,,,,,,,,,,,,,
,Бор,http://informatics.mccme.ru/py-source/source/dir/240-449,,,,,,,,,,,,,,,,,
,"Декартово дерево (treap, дерамида)",http://informatics.mccme.ru/py-source/source/dir/240-16186,,http://e-maxx.ru/algo/treap,,,,,,,,,,,,,,,
,Хеш,http://informatics.mccme.ru/py-source/source/dir/240-448,,http://e-maxx.ru/algo/string_hashes,Применение к задачам на строки,,,,,,,,,,,,,,
,Вероятность,http://informatics.mccme.ru/py-source/source/dir/240-18055,,,,,,,,,,,,,,,,,
,Функция Эйлера,,,http://e-maxx.ru/algo/euler_function,,,,,,,,,,,,,,,
,Расширенный алгоритм Евклида,,,http://e-maxx.ru/algo/extended_euclid_algorithm,,,http://foxford.ru/wiki/informatika/rasshirennyy-algoritm-evklida,,,,,,,,,,,,
,Числа Фибоначчи,,,http://e-maxx.ru/algo/fibonacci_numbers,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/38WrqoMIGdk/,,,,,,,
,sqrt-декомпозиция (корневая оптимизация),,,http://e-maxx.ru/algo/sqrt_decomposition,,,,,,,,,,,,,,http://habrahabr.ru/post/138946/,
,дерево Фенвика,,,http://e-maxx.ru/algo/fenwick_tree,,,,,,,,,,,,,,,
,RMQ,http://informatics.mccme.ru/py-source/source/dir/240-420,"Дерево отрезков, RMQ, RSQ",http://e-maxx.ru/algo/rmq,,,,,,,,,,,,,,http://habrahabr.ru/post/114980/,
,КМП,,,,,,,,,,,,,,,,,http://habrahabr.ru/post/191454/,
,КМП,,,,,,,,,,,,,,,,,http://habrahabr.ru/post/113266/,Поиск подстроки в строке
,z-функция,,,,,,,,,,,,,,,,,http://habrahabr.ru/post/113266/,Поиск подстроки в строке
,meet-in-the-middle,,,,,,,,,,,,,,,,,http://habrahabr.ru/post/191266/,
68,Сложность алгоритмов,,,,,,,,,,,,,,,,,http://habrahabr.ru/post/196560/,
68,Сложность алгоритмов,,,,,,,,,,,,,,,,,http://habrahabr.ru/post/188010/,Таблица сложности алгоритмов
