,,informatics задачи - ссылка,informatics задачи - название,e-maxx-теория ссылки,e-maxx теория - название,,фоксфорд теория - ссылка,фоксфорд теория - заголовок,фоксфорд видео - ссылка,фоксфорд видео - заголовок,,ЛКШ видео - ссылка,ЛКШ видео заголовок,,,unique id,color,habr - ссылка,habr - заголовок
34,Векторы и декартовы координаты,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,,,,,,,,,,,15,13,34,geom,,
35,Теория расписаний,http://informatics.mccme.ru/py-source/source/dir/240-18213,,,,,,,,,,,,15,14,35,dp,,
36,Задача о рюкзаке,http://informatics.mccme.ru/py-source/source/dir/240-413,,,,,http://foxford.ru/wiki/informatika/algoritm-ukladki-ryukzaka,,http://foxford.ru/wiki/informatika/algoritm-ukladki-ryukzaka,,,,,15,15,36,dp,,
37,ДП с двумя параметрами,http://informatics.mccme.ru/py-source/source/dir/240-401,,http://e-maxx.ru/algo/longest_increasing_subseq_log,Наибольшая возрастающая последовательность,,http://foxford.ru/wiki/informatika/naibolshaya-obschaya-podposledovatelnost,Наибольшая общая подпоследовательность,http://foxford.ru/wiki/informatika/naibolshaya-obschaya-podposledovatelnost,Наибольшая общая подпоследовательность,,http://sis.khashaev.ru/2013/august/c-prime/0BtGJkm84Ow/,Наибольшая общая подпоследовательность,15,16,37,dp,http://habrahabr.ru/post/191498/,Динамическое программирование
38,Стек,http://informatics.mccme.ru/py-source/source/dir/240-362,,,,,http://foxford.ru/wiki/informatika/stek,,http://foxford.ru/wiki/informatika/stek,,,,,15,17,38,data,http://habrahabr.ru/post/113585/,Персистентный стек
39,Очередь,http://informatics.mccme.ru/py-source/source/dir/240-361,,,,,http://foxford.ru/wiki/informatika/ochered,,,,,http://sis.khashaev.ru/2013/august/c-prime/fdRbuT-tLYA/,,15,18,39,data,http://habrahabr.ru/post/113585/,Персистентная очередь
40,Алгоритм Евклида,http://informatics.mccme.ru/py-source/source/dir/240-355,,http://e-maxx.ru/algo/euclid_algorithm,,,http://foxford.ru/wiki/informatika/algoritm-evklida-python,,http://foxford.ru/wiki/informatika/algoritm-evklida-python,,,http://sis.khashaev.ru/2013/august/c-prime/lwUfAa0eCdo/,НОД и НОК,15,19,40,nums,http://habrahabr.ru/post/205106/,Сравнение разных алгоритмов вычисления НОД
41,Решето Эратосфена,,,http://e-maxx.ru/algo/eratosthenes_sieve,,,http://foxford.ru/wiki/informatika/resheto-eratosfena,,http://foxford.ru/wiki/informatika/resheto-eratosfena,,,http://sis.khashaev.ru/2013/august/c-prime/BIwzyPBgU6Y/,,15,20,41,nums,http://habrahabr.ru/post/91112/,
42,Количество комбинаторных объектов,,,,,,http://foxford.ru/wiki/informatika/podschet-chisla-kombinatornyh-posledovatelnostey,,http://foxford.ru/wiki/informatika/podschet-chisla-kombinatornyh-posledovatelnostey,,,,,15,21,42,comb,,
43,Перебор,,,,,,,,,,,,,15,22,43,rec,,
44,Перебор вложенными циклами,http://informatics.mccme.ru/py-source/source/dir/240-385,Простые задачи на перебор,,,,http://foxford.ru/wiki/informatika/polnyy-perebor-s-ispolzovaniem-tsiklov,,http://foxford.ru/wiki/informatika/polnyy-perebor-s-ispolzovaniem-tsiklov,,,,,15,23,44,rec,,
45,Алгоритм Джарвиса,http://informatics.mccme.ru/py-source/source/dir/240-407,Многоугольники. Выпуклые оболочки,,,,,,,,,,,16,9,45,geom,http://habrahabr.ru/post/144921/,
46,Лучи и отрезки,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,,,,,,,,,,,16,10,46,geom,,
47,Взаимное расположение точек и прямых,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,http://e-maxx.ru/algo/segments_intersection_checking,Пересечение отрезков,,,,,,,,,16,11,47,geom,,
48,Скалярное произведение,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,,,,,,,,,,,16,12,48,geom,,
49,Вещественные числа,http://informatics.mccme.ru/py-source/source/dir/240-414,,,,,,,,,,,,16,13,49,geom,http://habrahabr.ru/company/xakep/blog/257897/,
50,Жадные алгоритмы,http://informatics.mccme.ru/py-source/source/dir/240-427,,,,,,,,,,,,16,14,50,dp,,
51,ДП на таблицах,http://informatics.mccme.ru/py-source/source/dir/240-399,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/87h-mqcg1-A/,,16,15,51,dp,http://habrahabr.ru/post/191498/,Динамическое программирование
52,Одномерное ДП,http://informatics.mccme.ru/py-source/source/dir/240-397,,,,,http://foxford.ru/wiki/informatika/odnomernoe-dinamicheskoe-programmirovanie-nailuchshiy-sposob,Наилучший способ,http://foxford.ru/wiki/informatika/odnomernoe-dinamicheskoe-programmirovanie-nailuchshiy-sposob,Наилучший способ,,http://sis.khashaev.ru/2013/august/c-prime/38WrqoMIGdk/,Рекурсия с запоминанием. Числа Фибоначчи,16,16,52,dp,http://habrahabr.ru/post/191498/,Динамическое программирование
53,Структуры данных,,,,,,,,,,,,,16,17,53,data,http://habrahabr.ru/post/232009/,
54,Проверка на простоту,http://informatics.mccme.ru/py-source/source/dir/240-384,,,,,http://foxford.ru/wiki/informatika/proverka-prostoty-pereborom-deliteley,,http://foxford.ru/wiki/informatika/proverka-prostoty-pereborom-deliteley,,,http://sis.khashaev.ru/2013/august/c-prime/lK2k26ATt38/,,16,18,54,nums,,
55,Разложение числа на простые множители,http://informatics.mccme.ru/py-source/source/dir/240-384,,,,,http://foxford.ru/wiki/informatika/faktorizatsiya-pereborom-deliteley,,http://foxford.ru/wiki/informatika/faktorizatsiya-pereborom-deliteley,,,http://sis.khashaev.ru/2013/august/c-prime/RdxW0PTgv2s/,,16,19,55,nums,,
56,Основные правила комбинаторики,http://informatics.mccme.ru/py-source/source/dir/240-18189,,,,,,,,,,,,16,20,56,comb,,
57,Биномиальные коэффициенты,,,http://e-maxx.ru/algo/binomial_coeff,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/veWlgAMkQEs/,Сочетания,16,21,57,comb,,
58,Перебор комбинаторных объектов,http://informatics.mccme.ru/py-source/source/dir/240-367,,http://e-maxx.ru/algo/generating_combinations,Сочетания,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/aram0M3qSbM/,Размещения с повторениями,16,22,58,comb,,
59,Рекурсивный перебор,http://informatics.mccme.ru/py-source/source/dir/240-366,Перебор,,,,,,,,,,,16,23,59,rec,,
60,Окружности,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,http://e-maxx.ru/algo/circle_line_intersection,Пересечение с прямой,,,,,,,,,17,11,60,geom,,
61,Угол. atan2,http://informatics.mccme.ru/py-source/source/dir/240-406,Элементарная геометрия,,,,,,,,,,,17,12,61,geom,,
62,Клеточная геометрия,http://informatics.mccme.ru/py-source/source/dir/240-445,,http://e-maxx.ru/algo/pick_grid_theorem,Формула Пика,,,,,,,,,17,13,62,geom,,
63,Алгоритм Краскала,http://informatics.mccme.ru/py-source/source/dir/240-390,Минимальные каркасы,http://e-maxx.ru/algo/mst_kruskal,,,http://foxford.ru/wiki/informatika/postroenie-minimalnogo-ostovnogo-dereva,,,,,,,17,14,63,graph,,
64,Многомерное ДП,http://informatics.mccme.ru/py-source/source/dir/240-351,Динамическое программирование,,,,,,,,,,,17,15,64,dp,,
65,Восстановление ответа в ДП,http://informatics.mccme.ru/py-source/source/dir/240-351,Динамическое программирование,,,,,,,,,,,17,16,65,dp,,
66,Динамическое программирование,http://informatics.mccme.ru/py-source/source/dir/240-397,ДП с одним параметром,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/pwO0r_qbkX8/,Общая схема решение задач ДП,17,17,66,dp,,
67,START,,,,,,,,,,,,,17,18,67,start,,
68,Сложность алгоритмов,,,,,,,,,,,,,17,19,68,alg,http://habrahabr.ru/post/104219/,
69,"Полином, экспонента, логарифм",,,,,,,,,,,,,17,20,69,alg,,
70,Множества. Формула включения-исключения,http://informatics.mccme.ru/py-source/source/dir/240-423,Пересечение множеств,http://informatics.mccme.ru/py-source/source/dir/240-457,,,,,,,,,,17,21,70,comb,,
71,Гамильтонов цикл,http://informatics.mccme.ru/py-source/source/dir/240-446,,,,,http://foxford.ru/wiki/informatika/postroenie-gamiltonova-tsikla,,,,,,,17,23,71,rec,,
72,Перебор с отсечениями,http://informatics.mccme.ru/py-source/source/dir/240-372,,,,,,,,,,,,17,24,72,rec,http://habrahabr.ru/post/190850/,Разные оптимизации перебора
73,Алгоритм Прима,http://informatics.mccme.ru/py-source/source/dir/240-390,Минимальные каркасы,http://e-maxx.ru/algo/mst_prim,,,http://foxford.ru/wiki/informatika/postroenie-minimalnogo-ostovnogo-dereva,,,,,,,18,13,73,graph,,
74,Минимальные остовные деревья,http://informatics.mccme.ru/py-source/source/dir/240-390,,,,,,,,,,,,18,14,74,graph,,
75,ДП в играх,http://informatics.mccme.ru/py-source/source/dir/240-415,,,,,http://foxford.ru/wiki/informatika/dvumernoe-dinamicheskoe-programmirovanie-igry,,http://foxford.ru/wiki/informatika/dvumernoe-dinamicheskoe-programmirovanie-igry,,,,,18,15,75,dp,,
76,Игры и выигрышные стратегии,http://informatics.mccme.ru/py-source/source/dir/240-396,,http://e-maxx.ru/algo/games_on_graphs,,,,,,,,,,18,16,76,dp,,
77,Рекурсия,http://informatics.mccme.ru/py-source/source/dir/240-347,,,,,,,,,,,,18,17,77,rec,http://habrahabr.ru/post/124856/,
78,Поиск в массиве,http://informatics.mccme.ru/py-source/source/dir/240-335,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/Du70u7-gIsc/,,18,18,78,search,,
79,Квадратичные сортировки,http://informatics.mccme.ru/py-source/source/dir/240-343,,,,,http://foxford.ru/wiki/informatika/kvadratichnye-sortirovki-v-python,,http://foxford.ru/wiki/informatika/kvadratichnye-sortirovki-v-python,,,http://sis.khashaev.ru/2013/august/c-prime/kBHwr_e_aAg/,Пузырьковая сортировка,18,19,79,sort,,
80,Подсчет. Сортировка подсчетом,,,,,,http://foxford.ru/wiki/informatika/sortirovka-podschetom,,http://foxford.ru/wiki/informatika/sortirovka-podschetom,,,http://sis.khashaev.ru/2013/august/c-prime/Prz7x1bkW5Y/,,18,20,80,sort,,
81,Алгоритм Форда-Фалкерсона,http://informatics.mccme.ru/py-source/source/dir/240-392,,,,,http://foxford.ru/wiki/informatika/algoritm-forda-bellmana,,,,,,,19,12,81,graph,,
82,Алгоритм Дейкстры,http://informatics.mccme.ru/py-source/source/dir/240-341,,http://e-maxx.ru/algo/dijkstra,,,http://foxford.ru/wiki/informatika/algoritm-deykstry,,http://foxford.ru/wiki/informatika/algoritm-deykstry,,,,,19,14,82,graph,http://habrahabr.ru/post/202314/,
83,Поиск в ширину,http://informatics.mccme.ru/py-source/source/dir/240-386,,http://e-maxx.ru/algo/bfs,,,http://foxford.ru/wiki/informatika/algoritm-poiska-v-shirinu,,http://foxford.ru/wiki/informatika/algoritm-poiska-v-shirinu,,,http://sis.khashaev.ru/2013/august/c-prime/YKxe2ZFVkHQ/,Волновой алгоритм,19,15,83,graph,,
84,Кратчайшие пути в графе,http://informatics.mccme.ru/py-source/source/dir/240-338,,,,,,,,,,,,19,16,84,graph,,
85,Хранение графа,http://informatics.mccme.ru/py-source/source/dir/240-388,,,,,http://foxford.ru/wiki/informatika/hranenie-grafa-spiski-smezhnyh-vershin,Списки смежных вершин,http://foxford.ru/wiki/informatika/hranenie-grafa-spiski-smezhnyh-vershin,Списки смежных вершин,,http://sis.khashaev.ru/2013/august/c-prime/-4ydd-Gj9GY/,Неявное задание,19,17,85,graph,,
86,Однопроходные алгоритмы,,,,,,,,,,,,,19,18,86,search,,
87,Бинарный поиск в упорядоченном массиве,http://informatics.mccme.ru/py-source/source/dir/240-337,,,,,http://foxford.ru/wiki/informatika/binarnyy-poisk-v-massive-na-python-dva-fiktivnyh-elementa,,http://foxford.ru/wiki/informatika/binarnyy-poisk-v-massive-na-python-dva-fiktivnyh-elementa,,,http://sis.khashaev.ru/2013/august/c-prime/5znFHMc5au4/,Идея,19,19,87,search,,
88,Быстрая сортировка,http://informatics.mccme.ru/py-source/source/dir/240-416,,,,,http://foxford.ru/wiki/informatika/bystraya-sortirovka-hoara,,http://foxford.ru/wiki/informatika/bystraya-sortirovka-hoara,,,http://sis.khashaev.ru/2008/august/b-prime/zw_JpBA5_rg/,,19,20,88,sort,,
89,Сортировка слиянием,http://informatics.mccme.ru/py-source/source/dir/240-417,,,,,http://foxford.ru/wiki/informatika/sortirovka-sliyaniem,,http://foxford.ru/wiki/informatika/sortirovka-sliyaniem,,,http://sis.khashaev.ru/2013/august/c-prime/leTOBaT9mSw/,,19,21,89,sort,,
90,Паросочетания,http://informatics.mccme.ru/py-source/source/dir/240-432,,,,,,,,,,,,20,11,90,graph,,
91,Потоки,http://informatics.mccme.ru/py-source/source/dir/240-391,,,,,,,,,,,,20,12,91,graph,,
92,Алгоритм Форда-Беллмана,http://informatics.mccme.ru/py-source/source/dir/240-389,,http://e-maxx.ru/algo/ford_bellman,,,http://foxford.ru/wiki/informatika/algoritm-forda-bellmana,,,,,,,20,13,92,graph,http://habrahabr.ru/post/201588/,
93,Алгоритм Флойда,http://informatics.mccme.ru/py-source/source/dir/240-373,,http://e-maxx.ru/algo/floyd_warshall_algorithm,,,http://foxford.ru/wiki/informatika/algoritm-floyda,,http://foxford.ru/wiki/informatika/algoritm-floyda,,,,,20,14,93,graph,http://habrahabr.ru/post/119158/,
94,Эйлеров цикл,http://informatics.mccme.ru/py-source/source/dir/240-444,,http://e-maxx.ru/algo/euler_path,,,,,,,,,,20,15,94,graph,,
